Time	Channel A	Channel B
(us)	(V)	(V)

0.00000000	2.02322500	-0.78432570
0.08000000	2.02322500	-0.78432570
0.16000000	2.02322500	-0.78432570
0.24000000	2.02322500	-0.78432570
0.32000000	2.02322500	-0.78432570
0.40000000	2.02322500	-0.60914950
0.48000000	2.02322500	-0.78432570
0.56000000	2.02322500	-0.78432570
0.64000000	2.02322500	-0.78432570
0.72000000	2.02322500	-0.78432570
0.80000000	2.02322500	-0.78432570
0.87999999	2.02322500	-0.60914950
0.95999999	2.02322500	-0.60914950
1.03999999	2.02322500	-0.60914950
1.11999999	2.02322500	-0.78432570
1.19999999	2.02322500	-0.60914950
1.27999999	2.02322500	-0.60914950
1.35999999	2.02322500	-0.60914950
1.43999999	2.02322500	-0.60914950
1.51999999	2.02322500	-0.60914950
1.59999999	2.02322500	-0.60914950
1.67999999	2.02322500	-0.60914950
1.75999999	2.02322500	-0.43336280
1.83999999	2.02322500	-0.43336280
1.91999999	2.02322500	-0.43336280
1.99999999	2.02322500	-0.43336280
2.07999999	2.02322500	-0.25818660
2.15999999	2.02322500	-0.25818660
2.23999999	2.02322500	-0.08239998
2.31999999	2.02322500	0.09277627
2.39999999	2.02322500	0.44373910
2.47999998	2.02322500	0.61891540
2.55999998	2.02322500	0.61891540
2.63999998	2.02322500	0.61891540
2.71999998	2.02322500	0.79470200
2.79999998	2.02322500	0.61891540
2.87999998	2.02322500	0.79470200
2.95999998	2.02322500	0.61891540
3.03999998	2.02322500	0.79470200
3.11999998	2.02322500	0.79470200
3.19999998	2.02322500	0.79470200
3.27999998	2.02322500	0.79470200
3.35999998	2.02322500	0.79470200
3.43999998	2.02322500	0.79470200
3.51999998	2.02322500	0.79470200
3.59999998	2.02322500	0.79470200
3.67999998	2.02322500	0.79470200
3.75999998	2.02322500	0.79470200
3.83999998	2.02322500	0.79470200
3.91999998	2.02322500	0.79470200
3.99999998	1.97897300	0.79470200
4.07999998	2.02322500	0.79470200
4.15999997	1.97897300	0.79470200
4.23999997	1.97897300	0.79470200
4.31999997	2.02322500	0.79470200
4.39999997	1.97897300	0.79470200
4.47999997	1.97897300	0.79470200
4.55999997	1.97897300	0.79470200
4.63999997	1.97897300	0.79470200
4.71999997	1.97897300	0.79470200
4.79999997	1.97897300	0.79470200
4.87999997	1.97897300	0.79470200
4.95999997	1.97897300	0.79470200
5.03999997	1.93456800	0.79470200
5.11999997	1.97897300	0.79470200
5.19999997	1.97897300	0.79470200
5.27999997	1.97897300	0.79470200
5.35999997	1.97897300	0.79470200
5.43999997	1.97897300	0.79470200
5.51999997	1.97897300	0.79470200
5.59999997	1.93456800	0.79470200
5.67999997	1.93456800	0.79470200
5.75999996	1.93456800	0.79470200
5.83999996	1.93456800	0.79470200
5.91999996	1.97897300	0.79470200
5.99999996	1.97897300	0.79470200
6.07999996	1.93456800	0.79470200
6.15999996	1.93456800	0.79470200
6.23999996	1.97897300	0.96987830
6.31999996	1.93456800	0.79470200
6.39999996	1.93456800	0.79470200
6.47999996	1.93456800	0.79470200
6.55999996	1.93456800	0.79470200
6.63999996	1.93456800	0.79470200
6.71999996	1.93456800	0.79470200
6.79999996	1.93456800	0.96987830
6.87999996	1.93456800	0.79470200
6.95999996	1.93456800	0.79470200
7.03999996	1.97897300	0.96987830
7.11999996	1.93456800	0.96987830
7.19999996	1.93456800	0.79470200
7.27999996	1.93456800	0.96987830
7.35999996	1.93456800	0.79470200
7.43999995	1.93456800	0.96987830
7.51999995	1.93456800	0.79470200
7.59999995	1.93456800	0.96987830
7.67999995	1.93456800	0.96987830
7.75999995	1.97897300	0.79470200
7.83999995	1.93456800	0.96987830
7.91999995	1.93456800	0.79470200
7.99999995	1.93456800	0.96987830
8.07999995	1.93456800	0.79470200
8.15999995	1.93456800	0.79470200
8.23999995	1.93456800	0.79470200
8.31999995	1.97897300	0.96987830
8.39999995	1.93456800	0.79470200
8.47999995	1.93456800	0.79470200
8.55999995	1.93456800	0.96987830
8.63999995	1.97897300	0.96987830
8.71999995	1.93456800	0.79470200
8.79999995	1.93456800	0.79470200
8.87999995	1.93456800	0.96987830
8.95999995	1.93456800	0.96987830
9.03999995	1.93456800	0.96987830
9.11999994	1.93456800	0.96987830
9.19999994	1.93456800	0.96987830
9.27999994	1.93456800	0.96987830
9.35999994	1.93456800	0.96987830
9.43999994	1.93456800	0.96987830
9.51999994	1.93456800	0.96987830
9.59999994	1.93456800	0.96987830
9.67999994	1.93456800	0.96987830
9.75999994	1.93456800	0.96987830
9.83999994	1.93456800	0.96987830
9.91999994	1.93456800	0.96987830
9.99999994	1.93456800	0.96987830
10.07999994	1.93456800	0.96987830
10.15999994	1.97897300	0.96987830
10.23999994	1.93456800	0.96987830
10.31999994	1.93456800	1.49662800
10.39999994	2.02322500	10.62471000
10.47999994	1.84591200	4.48072800
10.55999994	1.97897300	6.93868800
10.63999994	1.93456800	5.88519000
10.71999993	1.93456800	6.06097600
10.79999993	1.93456800	6.06097600
10.87999993	1.93456800	6.06097600
10.95999993	1.93456800	6.06097600
11.03999993	1.93456800	5.88519000
11.11999993	1.93456800	6.06097600
11.19999993	1.93456800	6.06097600
11.27999993	1.93456800	5.88519000
11.35999993	1.93456800	6.06097600
11.43999993	1.93456800	5.88519000
11.51999993	1.93456800	5.88519000
11.59999993	1.93456800	6.06097600
11.67999993	1.93456800	5.53422600
11.75999993	1.93456800	6.23615200
11.83999993	1.93456800	6.06097600
11.91999993	1.97897300	6.06097600
11.99999993	1.93456800	6.06097600
12.07999993	1.97897300	6.58711500
12.15999993	1.93456800	9.04507500
12.23999993	1.97897300	5.53422600
12.31999993	1.97897300	6.58711500
12.39999992	1.93456800	5.88519000
12.47999992	1.97897300	6.06097600
12.55999992	1.93456800	6.06097600
12.63999992	1.97897300	6.06097600
12.71999992	1.97897300	5.88519000
12.79999992	1.97897300	5.88519000
12.87999992	1.97897300	5.88519000
12.95999992	1.97897300	5.88519000
13.03999992	1.97897300	6.06097600
13.11999992	1.97897300	5.88519000
13.19999992	1.97897300	5.88519000
13.27999992	1.97897300	5.88519000
13.35999992	1.97897300	5.88519000
13.43999992	1.97897300	5.88519000
13.51999992	1.97897300	5.88519000
13.59999992	1.97897300	5.88519000
13.67999992	1.97897300	5.88519000
13.75999992	2.02322500	5.88519000
13.83999992	1.97897300	5.88519000
13.91999992	2.02322500	5.88519000
13.99999991	1.97897300	5.88519000
14.07999991	1.97897300	5.88519000
14.15999991	1.97897300	5.71001300
14.23999991	1.97897300	5.71001300
14.31999991	1.97897300	5.71001300
14.39999991	1.97897300	5.71001300
14.47999991	2.02322500	5.71001300
14.55999991	1.97897300	5.71001300
14.63999991	2.02322500	5.71001300
14.71999991	1.97897300	5.71001300
14.79999991	2.02322500	5.53422600
14.87999991	2.02322500	5.53422600
14.95999991	2.02322500	5.53422600
15.03999991	1.97897300	5.53422600
15.11999991	2.02322500	5.53422600
15.19999991	1.97897300	5.53422600
15.27999991	1.97897300	5.53422600
15.35999991	2.02322500	5.53422600
15.43999991	1.97897300	5.53422600
15.51999991	2.02322500	5.35844000
15.59999991	1.97897300	4.12976500
15.67999990	2.02322500	4.30555200
15.75999990	2.02322500	4.12976500
15.83999990	2.02322500	4.30555200
15.91999990	1.97897300	4.30555200
15.99999990	2.02322500	4.12976500
16.07999990	1.97897300	4.12976500
16.15999990	1.97897300	4.30555200
16.23999990	1.97897300	4.12976500
16.31999990	1.97897300	4.12976500
16.39999990	2.02322500	4.12976500
16.47999990	1.97897300	4.12976500
16.55999990	2.02322500	4.12976500
16.63999990	1.97897300	4.12976500
16.71999990	2.02322500	4.12976500
16.79999990	1.97897300	4.12976500
16.87999990	1.97897300	4.12976500
16.95999990	1.97897300	4.12976500
17.03999990	1.97897300	4.12976500
17.11999990	1.97897300	4.12976500
17.19999990	1.97897300	4.12976500
17.27999989	1.97897300	4.12976500
17.35999989	1.97897300	4.12976500
17.43999989	1.97897300	4.12976500
17.51999989	1.97897300	4.12976500
17.59999989	1.93456800	4.12976500
17.67999989	1.93456800	4.12976500
17.75999989	1.97897300	4.12976500
17.83999989	1.97897300	4.12976500
17.91999989	1.97897300	4.12976500
17.99999989	1.97897300	4.12976500
18.07999989	1.93456800	4.12976500
18.15999989	1.93456800	4.12976500
18.23999989	1.93456800	4.12976500
18.31999989	1.93456800	4.12976500
18.39999989	1.93456800	3.95458800
18.47999989	1.93456800	4.12976500
18.55999989	1.93456800	4.12976500
18.63999989	1.93456800	4.12976500
18.71999989	1.93456800	4.12976500
18.79999989	1.93456800	4.12976500
18.87999989	1.93456800	3.95458800
18.95999988	1.93456800	4.12976500
19.03999988	1.93456800	4.12976500
19.11999988	1.93456800	4.12976500
19.19999988	1.93456800	3.95458800
19.27999988	1.93456800	3.95458800
19.35999988	1.93456800	4.12976500
19.43999988	1.93456800	3.95458800
19.51999988	1.93456800	3.95458800
19.59999988	1.93456800	3.95458800
19.67999988	1.93456800	3.95458800
19.75999988	1.93456800	3.95458800
19.83999988	1.93456800	3.95458800
19.91999988	1.93456800	3.95458800
19.99999988	1.97897300	3.95458800
20.07999988	1.93456800	3.95458800
20.15999988	1.93456800	3.95458800
20.23999988	1.93456800	3.95458800
20.31999988	1.93456800	3.95458800
20.39999988	1.93456800	3.95458800
20.47999988	1.93456800	3.95458800
20.55999988	1.93456800	3.95458800
20.63999987	1.93456800	3.95458800
20.71999987	1.93456800	3.95458800
20.79999987	1.93456800	3.95458800
20.87999987	1.93456800	3.95458800
20.95999987	1.93456800	3.95458800
21.03999987	1.93456800	3.95458800
21.11999987	1.93456800	3.95458800
21.19999987	1.93456800	3.95458800
21.27999987	1.93456800	3.95458800
21.35999987	1.93456800	3.95458800
21.43999987	1.93456800	3.95458800
21.51999987	1.93456800	3.95458800
21.59999987	1.93456800	3.95458800
21.67999987	1.93456800	3.95458800
21.75999987	1.93456800	3.95458800
21.83999987	1.93456800	3.77880200
21.91999987	1.93456800	3.95458800
21.99999987	1.93456800	3.95458800
22.07999987	1.93456800	3.95458800
22.15999987	1.93456800	3.95458800
22.23999986	1.93456800	3.95458800
22.31999986	1.93456800	3.77880200
22.39999986	1.93456800	3.95458800
22.47999986	1.93456800	3.95458800
22.55999986	1.93456800	3.77880200
22.63999986	1.93456800	3.95458800
22.71999986	1.93456800	3.95458800
22.79999986	1.93456800	3.77880200
22.87999986	1.93456800	3.95458800
22.95999986	1.97897300	3.95458800
23.03999986	1.93456800	3.77880200
23.11999986	1.93456800	3.95458800
23.19999986	1.93456800	3.77880200
23.27999986	1.93456800	3.77880200
23.35999986	1.93456800	3.95458800
23.43999986	1.93456800	3.77880200
23.51999986	1.93456800	3.77880200
23.59999986	1.93456800	3.77880200
23.67999986	1.93456800	3.77880200
23.75999986	1.93456800	3.77880200
23.83999986	1.93456800	3.77880200
23.91999985	1.93456800	3.77880200
23.99999985	1.93456800	3.77880200
24.07999985	1.93456800	3.77880200
24.15999985	1.93456800	3.95458800
24.23999985	1.93456800	3.77880200
24.31999985	1.93456800	3.77880200
24.39999985	1.93456800	3.77880200
24.47999985	1.93456800	3.77880200
