Time	Channel A
(us)	(V)

0.00000000	3.52061500
0.04000000	3.52061500
0.08000000	3.52061500
0.12000000	3.52061500
0.16000000	3.52061500
0.20000000	3.52061500
0.24000000	3.52061500
0.28000000	3.52061500
0.32000000	3.52061500
0.36000000	3.52061500
0.40000000	3.52061500
0.44000000	3.52061500
0.48000000	3.52061500
0.52000000	3.43211200
0.56000000	3.52061500
0.60000000	3.43211200
0.64000000	3.43211200
0.68000000	3.43211200
0.72000000	3.43211200
0.76000000	3.43211200
0.80000000	3.43211200
0.83999999	3.43211200
0.87999999	3.43211200
0.91999999	3.43211200
0.95999999	3.43211200
0.99999999	3.43211200
1.03999999	3.34330300
1.07999999	3.34330300
1.11999999	3.34330300
1.15999999	3.34330300
1.19999999	3.34330300
1.23999999	3.34330300
1.27999999	3.34330300
1.31999999	3.34330300
1.35999999	3.25479900
1.39999999	3.25479900
1.43999999	3.25479900
1.47999999	3.25479900
1.51999999	3.16599000
1.55999999	3.25479900
1.59999999	3.16599000
1.63999999	3.16599000
1.67999999	3.16599000
1.71999999	3.16599000
1.75999999	3.07718100
1.79999999	3.07718100
1.83999999	3.07718100
1.87999999	3.07718100
1.91999999	3.07718100
1.95999999	2.98867800
1.99999999	2.98867800
2.03999999	2.98867800
2.07999999	2.98867800
2.11999999	2.98867800
2.15999999	2.89986900
2.19999999	2.89986900
2.23999999	2.81136500
2.27999999	2.81136500
2.31999999	2.81136500
2.35999999	2.81136500
2.39999999	2.81136500
2.43999999	2.72255600
2.47999998	2.72255600
2.51999998	2.72255600
2.55999998	2.72255600
2.59999998	2.63405300
2.63999998	2.63405300
2.67999998	2.63405300
2.71999998	2.54524400
2.75999998	2.54524400
2.79999998	2.45674000
2.83999998	2.54524400
2.87999998	2.45674000
2.91999998	2.45674000
2.95999998	2.36793100
2.99999998	2.36793100
3.03999998	2.36793100
3.07999998	2.36793100
3.11999998	2.27942800
3.15999998	2.27942800
3.19999998	2.27942800
3.23999998	2.27942800
3.27999998	2.27942800
3.31999998	2.19061900
3.35999998	2.19061900
3.39999998	2.10211500
3.43999998	2.10211500
3.47999998	2.10211500
3.51999998	2.10211500
3.55999998	2.01330600
3.59999998	2.01330600
3.63999998	2.01330600
3.67999998	2.01330600
3.71999998	2.01330600
3.75999998	1.92480200
3.79999998	1.92480200
3.83999998	1.92480200
3.87999998	1.92480200
3.91999998	1.83599400
3.95999998	1.83599400
3.99999998	1.74749000
4.03999998	1.83599400
4.07999998	1.74749000
