Time	Channel B
(us)	(V)

0.00000000	2.02337700
0.04000000	2.02337700
0.08000000	2.02337700
0.12000000	2.02337700
0.16000000	2.02337700
0.20000000	2.02337700
0.24000000	2.02337700
0.28000000	2.02337700
0.32000000	1.84759100
0.36000000	1.84759100
0.40000000	1.84759100
0.44000000	1.84759100
0.48000000	1.67241400
0.52000000	1.67241400
0.56000000	1.67241400
0.60000000	1.67241400
0.64000000	1.67241400
0.68000000	1.67241400
0.72000000	1.67241400
0.76000000	1.67241400
0.80000000	1.49662800
0.83999999	1.67241400
0.87999999	1.49662800
0.91999999	1.49662800
0.95999999	1.49662800
0.99999999	1.49662800
1.03999999	1.49662800
1.07999999	1.32145100
1.11999999	1.32145100
1.15999999	1.32145100
1.19999999	1.32145100
1.23999999	1.32145100
1.27999999	1.32145100
1.31999999	1.32145100
1.35999999	1.32145100
1.39999999	1.14566500
1.43999999	1.14566500
1.47999999	1.14566500
1.51999999	1.14566500
1.55999999	1.14566500
1.59999999	1.14566500
1.63999999	1.14566500
1.67999999	1.14566500
1.71999999	0.96987830
1.75999999	0.96987830
1.79999999	0.96987830
1.83999999	0.96987830
1.87999999	0.79470200
1.91999999	0.96987830
1.95999999	0.79470200
1.99999999	0.79470200
2.03999999	0.79470200
2.07999999	0.79470200
2.11999999	0.79470200
2.15999999	0.79470200
2.19999999	0.61891540
2.23999999	0.61891540
2.27999999	0.61891540
2.31999999	0.61891540
2.35999999	0.61891540
2.39999999	0.44373910
2.43999999	0.44373910
2.47999998	0.44373910
2.51999998	0.44373910
2.55999998	0.44373910
2.59999998	0.26795250
2.63999998	0.44373910
2.67999998	0.26795250
2.71999998	0.26795250
2.75999998	0.26795250
2.79999998	0.09277627
2.83999998	0.09277627
2.87999998	0.09277627
2.91999998	0.09277627
2.95999998	0.09277627
2.99999998	0.09277627
3.03999998	-0.08239998
3.07999998	-0.08239998
3.11999998	-0.08239998
3.15999998	-0.08239998
3.19999998	-0.08239998
3.23999998	-0.25818660
3.27999998	-0.25818660
3.31999998	-0.25818660
3.35999998	-0.25818660
3.39999998	-0.43336280
3.43999998	-0.43336280
3.47999998	-0.43336280
3.51999998	-0.43336280
3.55999998	-0.43336280
3.59999998	-0.60914950
3.63999998	-0.60914950
3.67999998	-0.60914950
3.71999998	-0.60914950
3.75999998	-0.60914950
3.79999998	-0.60914950
3.83999998	-0.78432570
3.87999998	-0.78432570
3.91999998	-0.78432570
3.95999998	-0.78432570
3.99999998	-0.78432570
