Time	Channel B
(us)	(V)

0.00000000	-4.64674800
0.04000000	-4.82192500
0.08000000	-4.64674800
0.12000000	-4.82192500
0.16000000	-4.82192500
0.20000000	-4.99771100
0.24000000	-4.99771100
0.28000000	-4.99771100
0.32000000	-5.17288700
0.36000000	-5.34867400
0.40000000	-5.34867400
0.44000000	-5.34867400
0.48000000	-5.52446100
0.52000000	-5.69963700
0.56000000	-5.69963700
0.60000000	-5.87542300
0.64000000	-5.87542300
0.68000000	-6.05060000
0.72000000	-6.05060000
0.76000000	-6.22638600
0.80000000	-6.40156300
0.83999999	-6.57734900
0.87999999	-6.75313600
0.91999999	-6.92831200
0.95999999	-7.10409900
0.99999999	-7.27927500
1.03999999	-7.45506100
1.07999999	-7.63084800
1.11999999	-7.80602500
1.15999999	-7.98181100
1.19999999	-8.15698700
1.23999999	-8.33277400
1.27999999	-8.50856000
1.31999999	-8.50856000
1.35999999	-8.85952300
1.39999999	-8.85952300
1.43999999	-9.21048600
1.47999999	-9.21048600
1.51999999	-9.38627200
1.55999999	-9.56144900
1.59999999	-9.73723600
1.63999999	-9.91241200
1.67999999	-9.91241200
1.71999999	-9.91241200
1.75999999	-10.08820000
1.79999999	-10.08820000
1.83999999	-10.26398000
1.87999999	-10.43916000
1.91999999	-10.43916000
1.95999999	-10.61495000
1.99999999	-10.61495000
2.03999999	-10.61495000
2.07999999	-10.61495000
2.11999999	-10.61495000
2.15999999	-10.61495000
2.19999999	-10.61495000
2.23999999	-10.61495000
2.27999999	-10.61495000
2.31999999	-10.61495000
2.35999999	-10.61495000
2.39999999	-10.61495000
2.43999999	-10.43916000
2.47999998	-10.43916000
2.51999998	-10.26398000
2.55999998	-10.26398000
2.59999998	-10.08820000
2.63999998	-10.08820000
2.67999998	-9.91241200
2.71999998	-9.91241200
2.75999998	-9.73723600
2.79999998	-9.73723600
2.83999998	-9.56144900
2.87999998	-9.56144900
2.91999998	-9.38627200
2.95999998	-9.21048600
2.99999998	-9.21048600
3.03999998	-9.21048600
3.07999998	-9.03469900
3.11999998	-8.85952300
3.15999998	-8.68373700
3.19999998	-8.68373700
3.23999998	-8.50856000
3.27999998	-8.33277400
3.31999998	-8.15698700
3.35999998	-8.15698700
3.39999998	-8.15698700
3.43999998	-7.98181100
3.47999998	-7.80602500
3.51999998	-7.80602500
3.55999998	-7.63084800
3.59999998	-7.63084800
3.63999998	-7.45506100
3.67999998	-7.27927500
3.71999998	-7.27927500
3.75999998	-7.27927500
