Time	Channel B
(us)	(V)

0.00000000	4.83230100
0.04000000	4.83230100
0.08000000	5.18326400
0.12000000	5.35844000
0.16000000	5.35844000
0.20000000	5.53422600
0.24000000	5.71001300
0.28000000	5.88519000
0.32000000	6.23615200
0.36000000	6.23615200
0.40000000	6.41193900
0.44000000	6.41193900
0.48000000	6.76290200
0.52000000	6.76290200
0.56000000	6.93868800
0.60000000	6.93868800
0.64000000	7.11386400
0.68000000	7.11386400
0.72000000	7.28965100
0.76000000	7.46482800
0.80000000	7.46482800
0.83999999	7.64061400
0.87999999	7.64061400
0.91999999	7.64061400
0.95999999	7.64061400
0.99999999	7.81640100
1.03999999	7.81640100
1.07999999	7.81640100
1.11999999	7.81640100
1.15999999	7.81640100
1.19999999	7.81640100
1.23999999	7.81640100
1.27999999	7.81640100
1.31999999	7.99157700
1.35999999	7.81640100
1.39999999	7.81640100
1.43999999	7.81640100
1.47999999	7.64061400
1.51999999	7.81640100
1.55999999	7.64061400
1.59999999	7.64061400
1.63999999	7.64061400
1.67999999	7.64061400
1.71999999	7.46482800
1.75999999	7.46482800
1.79999999	7.28965100
1.83999999	7.28965100
1.87999999	7.28965100
1.91999999	7.28965100
1.95999999	7.11386400
1.99999999	6.93868800
2.03999999	6.93868800
2.07999999	6.93868800
2.11999999	6.93868800
2.15999999	6.76290200
2.19999999	6.76290200
2.23999999	6.76290200
2.27999999	6.58711500
2.31999999	6.41193900
2.35999999	6.41193900
2.39999999	6.23615200
2.43999999	6.23615200
2.47999998	6.23615200
2.51999998	6.23615200
2.55999998	6.06097600
2.59999998	6.06097600
2.63999998	5.88519000
2.67999998	5.88519000
2.71999998	5.71001300
2.75999998	5.71001300
2.79999998	5.71001300
2.83999998	5.53422600
2.87999998	5.53422600
2.91999998	5.53422600
2.95999998	5.53422600
2.99999998	5.35844000
3.03999998	5.53422600
3.07999998	5.35844000
3.11999998	5.35844000
3.15999998	5.35844000
3.19999998	5.18326400
3.23999998	5.35844000
3.27999998	5.18326400
3.31999998	5.18326400
3.35999998	5.18326400
3.39999998	5.00747700
3.43999998	5.00747700
3.47999998	5.00747700
3.51999998	5.00747700
3.55999998	5.00747700
3.59999998	5.00747700
3.63999998	4.83230100
3.67999998	5.00747700
3.71999998	4.83230100
3.75999998	4.83230100
3.79999998	4.83230100
3.83999998	4.83230100
3.87999998	4.83230100
3.91999998	4.83230100
3.95999998	4.83230100
3.99999998	4.83230100
4.03999998	4.83230100
4.07999998	4.83230100
