Time	Channel A	Channel B
(us)	(V)	(V)

0.00000000	-0.02563555	4.91409000
0.08000000	-0.02563555	4.91409000
0.16000000	-0.02563555	4.91409000
0.24000000	-0.02563555	4.91409000
0.32000000	-0.02563555	4.91409000
0.40000000	-0.02563555	4.91409000
0.48000000	-0.02563555	4.91409000
0.56000000	-0.02563555	4.91409000
0.64000000	-0.02563555	4.91409000
0.72000000	0.06317332	4.91409000
0.80000000	-0.02563555	4.91409000
0.87999999	-0.02563555	4.91409000
0.95999999	-0.02563555	4.91409000
1.03999999	-0.02563555	4.91409000
1.11999999	-0.02563555	4.91409000
1.19999999	0.06317332	4.91409000
1.27999999	-0.02563555	4.91409000
1.35999999	-0.02563555	4.91409000
1.43999999	0.06317332	4.91409000
1.51999999	-0.02563555	4.91409000
1.59999999	0.06317332	4.91409000
1.67999999	-0.02563555	4.91409000
1.75999999	0.06317332	4.91409000
1.83999999	-0.02563555	4.91409000
1.91999999	-0.02563555	4.91409000
1.99999999	-0.02563555	4.91409000
2.07999999	0.06317332	4.91409000
2.15999999	-0.02563555	4.91409000
2.23999999	-0.02563555	4.91409000
2.31999999	-0.02563555	4.91409000
2.39999999	-0.02563555	4.91409000
2.47999998	-0.02563555	4.91409000
2.55999998	-0.02563555	4.91409000
2.63999998	-0.02563555	4.91409000
2.71999998	-0.02563555	4.91409000
2.79999998	-0.02563555	4.91409000
2.87999998	0.06317332	4.91409000
2.95999998	0.06317332	4.91409000
3.03999998	-0.02563555	4.91409000
3.11999998	-0.02563555	4.91409000
3.19999998	-0.02563555	4.91409000
3.27999998	0.06317332	4.91409000
3.35999998	0.06317332	4.91409000
3.43999998	-0.02563555	4.91409000
3.51999998	-0.02563555	4.91409000
3.59999998	-0.02563555	4.91409000
3.67999998	-0.02563555	4.91409000
3.75999998	0.06317332	4.91409000
3.83999998	0.06317332	4.91409000
3.91999998	-0.02563555	4.91409000
3.99999998	-0.02563555	4.91409000
4.07999998	-0.02563555	4.91409000
4.15999997	-0.02563555	4.91409000
4.23999997	-0.02563555	4.91409000
4.31999997	-0.02563555	4.91409000
4.39999997	0.06317332	4.91409000
4.47999997	-0.02563555	4.91409000
4.55999997	-0.02563555	4.91409000
4.63999997	-0.02563555	4.91409000
4.71999997	-0.02563555	4.91409000
4.79999997	-0.02563555	4.91409000
4.87999997	-0.02563555	4.91409000
4.95999997	-0.02563555	4.91409000
5.03999997	0.06317332	4.91409000
5.11999997	-0.02563555	4.91409000
5.19999997	-0.02563555	4.91409000
5.27999997	-0.02563555	4.91409000
5.35999997	-0.02563555	4.91409000
5.43999997	-0.02563555	4.91409000
5.51999997	-0.02563555	4.91409000
5.59999997	-0.02563555	4.91409000
5.67999997	-0.02563555	4.91409000
5.75999996	-0.02563555	4.91409000
5.83999996	-0.02563555	4.91409000
5.91999996	0.06317332	4.91409000
5.99999996	-0.02563555	4.91409000
6.07999996	-0.02563555	4.91409000
6.15999996	-0.02563555	4.91409000
6.23999996	0.06317332	4.91409000
6.31999996	-0.02563555	4.91409000
6.39999996	0.06317332	4.91409000
6.47999996	-0.02563555	4.91409000
6.55999996	-0.02563555	4.91409000
6.63999996	-0.02563555	4.91409000
6.71999996	-0.02563555	4.91409000
6.79999996	-0.02563555	4.91409000
6.87999996	-0.02563555	4.91409000
6.95999996	-0.02563555	4.91409000
7.03999996	-0.02563555	4.91409000
7.11999996	-0.02563555	4.91409000
7.19999996	0.06317332	4.91409000
7.27999996	0.06317332	4.91409000
7.35999996	-0.02563555	4.91409000
7.43999995	0.06317332	4.91409000
7.51999995	-0.02563555	4.91409000
7.59999995	-0.02563555	4.91409000
7.67999995	0.06317332	4.91409000
7.75999995	-0.02563555	4.91409000
7.83999995	-0.02563555	4.91409000
7.91999995	0.06317332	4.91409000
7.99999995	-0.02563555	4.91409000
8.07999995	-0.02563555	4.91409000
8.15999995	-0.02563555	4.91409000
8.23999995	0.06317332	4.91409000
8.31999995	-0.02563555	4.91409000
8.39999995	-0.02563555	4.91409000
8.47999995	0.06317332	4.91409000
8.55999995	-0.02563555	4.91409000
8.63999995	-0.02563555	4.91409000
8.71999995	-0.02563555	4.91409000
8.79999995	-0.02563555	4.91409000
8.87999995	-0.02563555	4.91409000
8.95999995	0.06317332	4.91409000
9.03999995	-0.02563555	4.91409000
9.11999994	-0.02563555	4.91409000
9.19999994	-0.02563555	4.91409000
9.27999994	0.06317332	4.91409000
9.35999994	0.06317332	4.91409000
9.43999994	0.06317332	4.91409000
9.51999994	0.06317332	4.91409000
9.59999994	0.06317332	4.91409000
9.67999994	-0.02563555	4.91409000
9.75999994	-0.02563555	4.91409000
9.83999994	-0.02563555	4.91409000
9.91999994	0.06317332	4.91409000
9.99999994	0.06317332	4.91409000
10.07999994	-0.02563555	4.91409000
10.15999994	-0.02563555	4.91409000
10.23999994	0.06317332	4.82619700
10.31999994	0.15167700	4.82619700
10.39999994	0.50630210	4.56282200
10.47999994	0.94943080	4.21124900
10.55999994	1.57017700	3.59660600
10.63999994	2.10211500	2.98196400
10.71999993	2.63405300	2.45490900
10.79999993	3.25479900	1.84026600
10.87999993	3.87524000	1.31321100
10.95999993	4.31867400	0.69856870
11.03999993	4.76180300	0.17151400
11.11999993	5.11642800	0.17151400
11.19999993	5.11642800	0.08392590
11.27999993	5.02792500	0.08392590
11.35999993	5.11642800	0.17151400
11.43999993	4.93911600	0.17151400
11.51999993	4.93911600	0.17151400
11.59999993	4.93911600	0.08392590
11.67999993	4.93911600	0.17151400
11.75999993	4.93911600	0.17151400
11.83999993	4.93911600	0.08392590
11.91999993	4.93911600	0.17151400
11.99999993	4.93911600	0.17151400
12.07999993	4.93911600	0.17151400
12.15999993	4.93911600	0.17151400
12.23999993	4.93911600	0.08392590
12.31999993	4.93911600	0.17151400
12.39999992	4.93911600	0.08392590
12.47999992	4.93911600	0.08392590
12.55999992	4.93911600	0.08392590
12.63999992	4.93911600	0.08392590
12.71999992	4.93911600	0.17151400
12.79999992	4.93911600	0.08392590
12.87999992	4.93911600	0.08392590
12.95999992	4.93911600	0.08392590
13.03999992	4.93911600	0.08392590
13.11999992	4.93911600	0.08392590
13.19999992	4.93911600	0.08392590
13.27999992	4.93911600	0.08392590
13.35999992	4.93911600	0.08392590
13.43999992	4.93911600	0.08392590
13.51999992	4.93911600	0.08392590
13.59999992	4.93911600	0.08392590
13.67999992	4.93911600	0.08392590
13.75999992	4.93911600	0.08392590
13.83999992	4.93911600	0.08392590
13.91999992	4.93911600	0.08392590
13.99999991	4.93911600	0.08392590
14.07999991	4.93911600	0.08392590
14.15999991	4.93911600	0.08392590
14.23999991	4.93911600	0.08392590
14.31999991	4.93911600	0.08392590
14.39999991	4.93911600	0.08392590
14.47999991	4.93911600	0.08392590
14.55999991	4.93911600	0.08392590
14.63999991	4.93911600	0.08392590
14.71999991	4.93911600	0.08392590
14.79999991	4.93911600	0.08392590
14.87999991	4.93911600	0.08392590
14.95999991	4.93911600	0.08392590
15.03999991	4.93911600	0.08392590
15.11999991	4.93911600	0.08392590
15.19999991	4.93911600	0.08392590
15.27999991	4.93911600	0.08392590
15.35999991	4.93911600	0.08392590
15.43999991	4.93911600	0.08392590
15.51999991	4.93911600	0.08392590
15.59999991	4.93911600	0.08392590
15.67999990	4.93911600	0.08392590
15.75999990	4.93911600	0.08392590
15.83999990	4.93911600	0.08392590
15.91999990	4.93911600	-0.00366222
15.99999990	4.93911600	0.08392590
16.07999990	4.93911600	0.08392590
16.15999990	4.93911600	0.08392590
16.23999990	4.93911600	0.08392590
16.31999990	4.93911600	0.08392590
16.39999990	4.93911600	0.08392590
16.47999990	4.93911600	0.08392590
16.55999990	4.93911600	0.08392590
16.63999990	4.93911600	0.08392590
16.71999990	4.93911600	0.08392590
16.79999990	4.93911600	0.08392590
16.87999990	4.93911600	0.08392590
16.95999990	4.93911600	-0.00366222
17.03999990	4.93911600	-0.00366222
17.11999990	4.93911600	0.08392590
17.19999990	4.93911600	0.08392590
17.27999989	4.93911600	0.08392590
17.35999989	4.93911600	0.08392590
17.43999989	4.93911600	0.08392590
17.51999989	4.93911600	0.08392590
17.59999989	4.93911600	0.08392590
17.67999989	4.93911600	0.08392590
17.75999989	4.93911600	0.08392590
17.83999989	4.93911600	-0.00366222
17.91999989	4.93911600	-0.00366222
17.99999989	4.93911600	0.08392590
18.07999989	4.93911600	-0.00366222
18.15999989	4.93911600	-0.00366222
18.23999989	4.93911600	0.08392590
18.31999989	4.93911600	-0.00366222
18.39999989	4.93911600	0.08392590
18.47999989	4.93911600	0.08392590
18.55999989	4.93911600	0.08392590
18.63999989	4.93911600	0.08392590
18.71999989	4.93911600	0.08392590
18.79999989	4.93911600	0.08392590
18.87999989	4.93911600	0.08392590
18.95999988	4.93911600	0.08392590
19.03999988	4.93911600	-0.00366222
19.11999988	4.93911600	-0.00366222
19.19999988	4.93911600	0.08392590
19.27999988	4.93911600	-0.00366222
19.35999988	4.93911600	-0.00366222
19.43999988	4.93911600	-0.00366222
19.51999988	4.93911600	-0.00366222
19.59999988	4.93911600	0.08392590
19.67999988	4.93911600	0.08392590
19.75999988	4.93911600	0.08392590
19.83999988	4.93911600	-0.00366222
19.91999988	4.93911600	0.08392590
19.99999988	4.93911600	-0.00366222
20.07999988	4.93911600	0.08392590
20.15999988	4.93911600	0.08392590
20.23999988	4.93911600	0.08392590
20.31999988	4.93911600	0.08392590
20.39999988	4.93911600	0.08392590
20.47999988	4.93911600	0.08392590
20.55999988	4.93911600	0.08392590
20.63999987	4.93911600	0.08392590
20.71999987	4.93911600	-0.00366222
20.79999987	4.93911600	-0.00366222
20.87999987	4.93911600	-0.00366222
20.95999987	4.93911600	0.08392590
21.03999987	4.93911600	0.08392590
21.11999987	4.93911600	-0.00366222
21.19999987	4.93911600	-0.00366222
21.27999987	4.93911600	-0.00366222
21.35999987	4.93911600	-0.00366222
21.43999987	4.93911600	0.08392590
21.51999987	4.93911600	0.08392590
21.59999987	4.93911600	-0.00366222
21.67999987	4.93911600	0.08392590
21.75999987	4.93911600	0.08392590
21.83999987	4.93911600	-0.00366222
21.91999987	4.93911600	-0.00366222
21.99999987	4.93911600	0.08392590
22.07999987	4.93911600	0.08392590
22.15999987	4.93911600	-0.00366222
22.23999986	4.93911600	0.08392590
22.31999986	4.93911600	-0.00366222
22.39999986	4.93911600	0.08392590
22.47999986	4.93911600	-0.00366222
22.55999986	4.93911600	-0.00366222
22.63999986	4.93911600	0.08392590
22.71999986	4.93911600	-0.00366222
22.79999986	4.93911600	0.08392590
22.87999986	4.93911600	-0.00366222
22.95999986	4.93911600	-0.00366222
23.03999986	4.93911600	-0.00366222
23.11999986	4.93911600	0.08392590
23.19999986	4.93911600	0.08392590
23.27999986	4.93911600	0.08392590
23.35999986	4.93911600	0.08392590
23.43999986	4.93911600	0.08392590
23.51999986	4.93911600	0.08392590
23.59999986	4.93911600	-0.00366222
23.67999986	4.93911600	-0.00366222
23.75999986	4.93911600	-0.00366222
23.83999986	4.93911600	-0.00366222
23.91999985	4.93911600	-0.00366222
23.99999985	4.93911600	0.08392590
